Year,MonthDate,Event,DayCategory
2009,01/01,New Year's Day,Federal Holiday
2009,01/19,Martin Luther King Jr. Day,Federal Holiday
2009,02/14,Valentine's Day,Event
2009,02/16,Presidents' Day,Federal Holiday
2009,04/12,Easter Sunday,Event
2009,05/10,Mother's Day,Event
2009,05/25,Memorial Day,Federal Holiday
2009,06/21,Father's Day,Event
2009,07/03,'Independence Day' observed,Federal Holiday
2009,07/04,Independence Day,Federal Holiday
2009,09/07,Labor Day,Federal Holiday
2009,10/12,Columbus Day (Most regions),Federal Holiday
2009,10/31,Halloween,Event
2009,11/11,Veterans Day,Federal Holiday
2009,11/26,Thanksgiving Day,Federal Holiday
2009,12/24,Christmas Eve,Event
2009,12/25,Christmas Day,Federal Holiday
2009,12/31,New Year's Eve,Event
2010,01/01,New Year's Day,Federal Holiday
2010,01/18,Martin Luther King Jr. Day,Federal Holiday
2010,02/14,Valentine's Day,Event
2010,02/15,Presidents' Day,Federal Holiday
2010,04/04,Easter Sunday,Event
2010,05/09,Mother's Day,Event
2010,05/31,Memorial Day,Federal Holiday
2010,06/20,Father's Day,Event
2010,07/04,Independence Day,Federal Holiday
2010,07/05,'Independence Day' observed,Federal Holiday
2010,09/06,Labor Day,Federal Holiday
2010,10/11,Columbus Day (Most regions),Federal Holiday
2010,10/31,Halloween,Event
2010,11/11,Veterans Day,Federal Holiday
2010,11/25,Thanksgiving Day,Federal Holiday
2010,12/24,'Christmas Day' observed,Federal Holiday
2010,12/24,Christmas Eve,Event
2010,12/25,Christmas Day,Federal Holiday
2010,12/31,'New Year's Day' observed,Federal Holiday
2010,12/31,New Year's Eve,Event
2011,01/01,New Year's Day,Federal Holiday
2011,01/17,Martin Luther King Jr. Day,Federal Holiday
2011,02/14,Valentine's Day,Event
2011,02/21,Presidents' Day,Federal Holiday
2011,04/24,Easter Sunday,Event
2011,05/08,Mother's Day,Event
2011,05/30,Memorial Day,Federal Holiday
2011,06/19,Father's Day,Event
2011,07/04,Independence Day,Federal Holiday
2011,09/05,Labor Day,Federal Holiday
2011,10/10,Columbus Day (Most regions),Federal Holiday
2011,10/31,Halloween,Event
2011,11/11,Veterans Day,Federal Holiday
2011,11/24,Thanksgiving Day,Federal Holiday
2011,12/24,Christmas Eve,Event
2011,12/25,Christmas Day,Federal Holiday
2011,12/26,'Christmas Day' observed,Federal Holiday
2011,12/31,New Year's Eve,Event
2012,01/01,New Year's Day,Federal Holiday
2012,01/02,'New Year's Day' observed,Federal Holiday
2012,01/16,Martin Luther King Jr. Day,Federal Holiday
2012,02/14,Valentine's Day,Event
2012,02/20,Presidents' Day,Federal Holiday
2012,04/08,Easter Sunday,Event
2012,05/13,Mother's Day,Event
2012,05/28,Memorial Day,Federal Holiday
2012,06/17,Father's Day,Event
2012,07/04,Independence Day,Federal Holiday
2012,09/03,Labor Day,Federal Holiday
2012,10/08,Columbus Day (Most regions),Federal Holiday
2012,10/31,Halloween,Event
2012,11/06,Election Day,Event
2012,11/11,Veterans Day,Federal Holiday
2012,11/22,Thanksgiving Day,Federal Holiday
2012,12/24,Christmas Eve,Event
2012,12/25,Christmas Day,Federal Holiday
2012,12/31,New Year's Eve,Event
2013,01/01,New Year's Day,Federal Holiday
2013,01/21,Martin Luther King Jr. Day,Federal Holiday
2013,02/14,Valentine's Day,Event
2013,02/18,Presidents' Day,Federal Holiday
2013,03/31,Easter Sunday,Event
2013,05/12,Mother's Day,Event
2013,05/27,Memorial Day,Federal Holiday
2013,06/16,Father's Day,Event
2013,07/04,Independence Day,Federal Holiday
2013,09/02,Labor Day,Federal Holiday
2013,10/14,Columbus Day (Most regions),Federal Holiday
2013,10/31,Halloween,Event
2013,11/11,Veterans Day,Federal Holiday
2013,11/28,Thanksgiving Day,Federal Holiday
2013,12/24,Christmas Eve,Event
2013,12/25,Christmas Day,Federal Holiday
2013,12/31,New Year's Eve,Event
2014,01/01,New Year's Day,Federal Holiday
2014,01/20,Martin Luther King Jr. Day,Federal Holiday
2014,02/14,Valentine's Day,Event
2014,02/17,Presidents' Day,Federal Holiday
2014,04/13,Thomas Jefferson's Birthday,Event
2014,04/20,Easter Sunday,Event
2014,05/11,Mother's Day,Event
2014,05/26,Memorial Day,Federal Holiday
2014,06/15,Father's Day,Event
2014,07/04,Independence Day,Federal Holiday
2014,09/01,Labor Day,Federal Holiday
2014,10/13,Columbus Day (Most regions),Federal Holiday
2014,10/31,Halloween,Event
2014,11/11,Veterans Day,Federal Holiday
2014,11/27,Thanksgiving Day,Federal Holiday
2014,12/24,Christmas Eve,Event
2014,12/25,Christmas Day,Federal Holiday
2014,12/31,New Year's Eve,Event
