Year,Month,ProductCategory,Sales(In ThousandDollars),No.of Holidays,Avg GDP Index,WeatherEvents
2009,1,WomenClothing,1755,2,14414.403,10
2009,1,MenClothing,524,2,14414.403,10
2009,1,OtherClothing,936,2,14414.403,10
2009,2,WomenClothing,1729,2,14377.688,6
2009,2,MenClothing,496,2,14377.688,6
2009,2,OtherClothing,859,2,14377.688,6
2009,3,WomenClothing,2256,0,14346.244,10
2009,3,MenClothing,542,0,14346.244,10
2009,3,OtherClothing,921,0,14346.244,10
2009,4,WomenClothing,2662,1,14339.209,11
2009,4,MenClothing,669,1,14339.209,11
2009,4,OtherClothing,914,1,14339.209,11
2009,5,WomenClothing,2732,2,14357.0145,14
2009,5,MenClothing,650,2,14357.0145,14
2009,5,OtherClothing,989,2,14357.0145,14
2009,6,WomenClothing,2220,1,14347.6755,20
2009,6,MenClothing,607,1,14347.6755,20
2009,6,OtherClothing,932,1,14347.6755,20
2009,7,WomenClothing,2164,2,14331.5245,13
2009,7,MenClothing,575,2,14331.5245,13
2009,7,OtherClothing,901,2,14331.5245,13
2009,8,WomenClothing,2371,0,14430.049,12
2009,8,MenClothing,551,0,14430.049,12
2009,8,OtherClothing,865,0,14430.049,12
2009,9,WomenClothing,2421,1,14418.375,7
2009,9,MenClothing,579,1,14418.375,7
2009,9,OtherClothing,819,1,14418.375,7
2009,10,WomenClothing,2579,2,14595.999,13
2009,10,MenClothing,610,2,14595.999,13
2009,10,OtherClothing,914,2,14595.999,13
2009,11,WomenClothing,2521,2,14574.921,10
2009,11,MenClothing,620,2,14574.921,10
2009,11,OtherClothing,955,2,14574.921,10
2009,12,WomenClothing,3390,3,14491.768,11
2009,12,MenClothing,930,3,14491.768,11
2009,12,OtherClothing,1351,3,14491.768,11
2010,1,WomenClothing,2142,2,14551.025,11
2010,1,MenClothing,476,2,14551.025,11
2010,1,OtherClothing,945,2,14551.025,11
2010,2,WomenClothing,2413,2,14581.376,13
2010,2,MenClothing,471,2,14581.376,13
2010,2,OtherClothing,869,2,14581.376,13
2010,3,WomenClothing,3102,0,14682.011,14
2010,3,MenClothing,568,0,14682.011,14
2010,3,OtherClothing,941,0,14682.011,14
2010,4,WomenClothing,0,1,14724.2,7
2010,4,MenClothing,630,1,14724.2,7
2010,4,OtherClothing,0,1,14724.2,7
2010,5,WomenClothing,3221,2,14741.367,10
2010,5,MenClothing,627,2,14741.367,10
2010,5,OtherClothing,991,2,14741.367,10
2010,6,WomenClothing,2756,1,14772.318,12
2010,6,MenClothing,598,1,14772.318,12
2010,6,OtherClothing,984,1,14772.318,12
2010,7,WomenClothing,2749,2,14833.749,10
2010,7,MenClothing,544,2,14833.749,10
2010,7,OtherClothing,937,2,14833.749,10
2010,8,WomenClothing,2807,0,14824.166,8
2010,8,MenClothing,0,0,14824.166,8
2010,8,OtherClothing,897,0,14824.166,8
2010,9,WomenClothing,2919,1,14878.547,9
2010,9,MenClothing,563,1,14878.547,9
2010,9,OtherClothing,839,1,14878.547,9
2010,10,WomenClothing,3071,2,14945.427,10
2010,10,MenClothing,634,2,14945.427,10
2010,10,OtherClothing,930,2,14945.427,10
2010,11,WomenClothing,3276,2,14896.675,8
2010,11,MenClothing,669,2,14896.675,8
2010,11,OtherClothing,1035,2,14896.675,8
2010,12,WomenClothing,4360,5,14975.04,5
2010,12,MenClothing,988,5,14975.04,5
2010,12,OtherClothing,1398,5,14975.04,5
2011,1,WomenClothing,2193,2,14838.156,14
2011,1,MenClothing,487,2,14838.156,14
2011,1,OtherClothing,968,2,14838.156,14
2011,2,WomenClothing,2620,2,14801.734,9
2011,2,MenClothing,497,2,14801.734,9
2011,2,OtherClothing,878,2,14801.734,9
2011,3,WomenClothing,3266,0,15004.115,11
2011,3,MenClothing,599,0,15004.115,11
2011,3,OtherClothing,1064,0,15004.115,11
2011,4,WomenClothing,3414,1,15050.661,14
2011,4,MenClothing,690,1,15050.661,14
2011,4,OtherClothing,985,1,15050.661,14
