Year,Month,Day,Temp high (°C),Temp avg (°C),Temp low (°C),Dew Point high (°C),Dew Point avg (°C),Dew Point low (°C),Humidity (%) high,Humidity (%) avg,Humidity (%) low,Sea Level Press. (hPa) high,Sea Level Press. (hPa) avg,Sea Level Press. (hPa) low,Visibility (km) high,Visibility (km) avg,Visibility (km) low,Wind (km/h) low,Wind (km/h) avg,Wind (km/h) high,Precip. (mm) sum,WeatherEvent
2009,Jan,1,-3,-6,-9,-16,-17,-19,54,43,32,1025,1023,1015,16,16,16,37,18,60,0,
2009,Jan,2,1,-2,-5,-3,-7,-17,78,57,36,1022,1012,1007,16,13,2,27,10,48,T,Snow
2009,Jan,3,3,1,-2,-5,-9,-13,72,54,35,1018,1015,1008,16,16,16,27,16,42,T,
2009,Jan,4,6,1,-4,-10,-12,-13,55,42,29,1020,1017,1015,16,16,16,32,12,40,0,
2009,Jan,5,6,5,3,-1,-5,-16,62,48,33,1016,1014,1013,16,16,16,23,11,34,T,
2009,Jan,6,3,2,-1,-2,-11,-18,85,54,22,1019,1015,1009,16,14,6,24,11,29,2.03,Rain
2009,Jan,7,3,2,-1,2,1,-2,96,91,85,1008,994,986,16,8,3,40,17,52,30.23,Rain
2009,Jan,8,3,1,-2,0,-6,-9,82,63,44,1006,997,989,16,16,16,34,18,50,0,
2009,Jan,9,0,-2,-3,-10,-11,-12,58,51,43,1024,1016,1006,16,16,16,29,16,47,0,
2009,Jan,10,-1,-3,-5,-3,-7,-12,88,69,50,1026,1022,1012,16,8,1,26,11,39,3.56,"Fog , Rain , Snow"
2009,Jan,11,-1,-2,-4,-2,-5,-9,92,78,63,1016,1011,1007,16,13,5,29,11,35,4.83,Rain
2009,Jan,12,1,-3,-6,-9,-10,-11,77,61,45,1026,1022,1015,16,16,16,23,10,32,0,
2009,Jan,13,5,2,-2,-1,-4,-9,70,62,53,1026,1015,1007,16,16,16,24,9,34,0,
2009,Jan,14,2,-3,-9,-3,-16,-20,70,52,33,1022,1017,1006,16,16,14,32,14,47,0,
2009,Jan,15,-6,-7,-9,-10,-13,-18,84,66,47,1030,1023,1019,16,9,0,26,12,35,1.27,Snow
2009,Jan,16,-9,-11,-13,-16,-20,-22,59,48,36,1035,1032,1029,16,16,16,24,15,35,0,
2009,Jan,17,-6,-10,-14,-13,-19,-22,60,50,39,1036,1031,1025,16,16,16,26,9,40,0,
2009,Jan,18,2,-2,-6,-1,-4,-12,100,78,55,1025,1013,1006,16,7,1,19,9,27,4.57,"Fog , Snow"
2009,Jan,19,1,-1,-3,-2,-3,-6,92,78,63,1007,1005,1003,16,7,1,14,4,21,4.57,"Fog , Snow"
